Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Uninsured at time of interview,Nonmetropolitan,5.5,"3.8,  7.6","Percentage of being uninsured at the time of interview for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Is [child's name] covered by any kind of health insurance or some other kind of health care plan?"" and a series of questions that seek to determine the health insurance coverage type for the child. Children are considered uninsured if they did not have private health insurance, Medicare, Medicaid, Children's Health Insurance Program (CHIP), a State-sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview.",2021
Uninsured at time of interview,Little to no social vulnerability,2.6,"1.7,  3.9","Percentage of being uninsured at the time of interview for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Is [child's name] covered by any kind of health insurance or some other kind of health care plan?"" and a series of questions that seek to determine the health insurance coverage type for the child. Children are considered uninsured if they did not have private health insurance, Medicare, Medicaid, Children's Health Insurance Program (CHIP), a State-sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview.",2021
Uninsured at time of interview,Low social vulnerability,4.3,"3.2,  5.5","Percentage of being uninsured at the time of interview for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Is [child's name] covered by any kind of health insurance or some other kind of health care plan?"" and a series of questions that seek to determine the health insurance coverage type for the child. Children are considered uninsured if they did not have private health insurance, Medicare, Medicaid, Children's Health Insurance Program (CHIP), a State-sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview.",2021
Uninsured at time of interview,Medium social vulnerability,4.5,"3.5,  5.6","Percentage of being uninsured at the time of interview for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Is [child's name] covered by any kind of health insurance or some other kind of health care plan?"" and a series of questions that seek to determine the health insurance coverage type for the child. Children are considered uninsured if they did not have private health insurance, Medicare, Medicaid, Children's Health Insurance Program (CHIP), a State-sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview.",2021
Uninsured at time of interview,High social vulnerability,4.3,"3.4,  5.5","Percentage of being uninsured at the time of interview for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Is [child's name] covered by any kind of health insurance or some other kind of health care plan?"" and a series of questions that seek to determine the health insurance coverage type for the child. Children are considered uninsured if they did not have private health insurance, Medicare, Medicaid, Children's Health Insurance Program (CHIP), a State-sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview.",2021
Ever having asthma,Total,9.9,"9.1, 10.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Male,11.4,"10.3, 12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Female,8.2,"7.2,  9.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,0-4 years,3.2,"2.3,  4.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,5-11 years,10.6,"9.3, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,12-17 years,13.9,"12.4, 15.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"White, single race",8.9,"8.0,  9.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Black or African American, single race",15.9,"13.1, 19.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"American Indian or Alaska Native, single race",999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Asian, single race",6,"4.0,  8.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Black or African American and White,12.5,"7.6, 19.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,American Indian or Alaska Native and White,999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Hispanic or Latino,9.8,"8.3, 11.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Not Hispanic or Latino,9.9,"9.0, 10.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Mexican or Mexican American,9.9,"8.1, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Not Hispanic or Latino, White, single race",8.8,"7.8,  9.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Not Hispanic or Latino, Black or African American, single race",15.9,"13.0, 19.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Other, non-Hispanic",8.1,"6.4, 10.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Single parent, never married",14.4,"11.4, 17.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Single parent, ever married",12.7,"10.3, 15.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Married parents,8.3,"7.4,  9.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Cohabiting parents,9.2,"6.2, 13.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,At least one related or unrelated adult (not a parent),13.5,"9.5, 18.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,No working parents,13.3,"10.4, 16.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Single parent, working",13.2,"11.3, 15.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Two parents, one working",7.6,"6.2,  9.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,"Two parents, both working",8.6,"7.4,  9.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Less than high school diploma,9.3,"6.5, 12.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,High school diploma or GED,9.9,"8.2, 11.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Some college,12.9,"11.1, 14.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,College degree or higher,8.2,"7.2,  9.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Less than 100% FPL,10.5,"8.3, 13.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,100% to less than 200% FPL,11.1,"9.2, 13.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,200% and greater FPL,9.2,"8.4, 10.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Private,8.9,"8.0,  9.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Medicaid or other public,11.6,"10.2, 13.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Other coverage,8,"4.4, 13.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Uninsured,7.9,"4.8, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,With disability,16.5,"13.5, 19.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Without disability,10.1,"9.2, 11.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Large MSA,10.4,"9.4, 11.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Small MSA,9,"7.7, 10.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Not in MSA,9.6,"7.5, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Northeast,10.4,"8.5, 12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Midwest,9.8,"8.2, 11.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,South,10.3,"9.0, 11.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,West,8.9,"7.4, 10.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Large central metro,10.5,"9.0, 12.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Large fringe metro,10.4,"9.0, 11.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Medium and small metro,8.9,"7.6, 10.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Nonmetropolitan,9.6,"7.5, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Little to no social vulnerability,8.2,"6.5, 10.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Low social vulnerability,9,"7.5, 10.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,Medium social vulnerability,11,"9.5, 12.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Ever having asthma,High social vulnerability,10.3,"8.9, 11.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2022
Delayed getting medical care due to cost,Total,1.1,"0.9,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Male,1,"0.7,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Female,1.3,"0.9,  1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,0-4 years,1.5,"0.9,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,5-11 years,1,"0.7,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,12-17 years,1.1,"0.6,  1.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"White, single race",1,"0.7,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Black or African American, single race",1.2,"0.5,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"American Indian or Alaska Native, single race",888,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Asian, single race",1.2,"0.3,  2.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Native Hawaiian or Other Pacific Islander, single race",888,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Black or African American and White,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,American Indian or Alaska Native and White,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Hispanic or Latino,1.8,"1.1,  2.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Not Hispanic or Latino,0.9,"0.7,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Mexican or Mexican American,1.1,"0.5,  2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Not Hispanic or Latino, White, single race",0.9,"0.6,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Not Hispanic or Latino, Black or African American, single race",1.2,"0.5,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Other, non-Hispanic",0.9,"0.3,  1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Single parent, never married",1.4,"0.5,  3.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Single parent, ever married",0.7,"0.3,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Married parents,1.1,"0.7,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Cohabiting parents,1,"0.2,  3.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,At least one related or unrelated adult (not a parent),2,"0.6,  4.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,No working parents,2.2,"1.0,  4.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Single parent, working",1,"0.5,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Two parents, one working",1.3,"0.7,  2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,"Two parents, both working",1,"0.6,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Less than high school diploma,3.1,"1.6,  5.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,High school diploma or GED,1.3,"0.8,  2.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Some college,1,"0.6,  1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,College degree or higher,0.7,"0.4,  1.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Less than 100% FPL,2.1,"1.1,  3.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,100% to less than 200% FPL,1.3,"0.8,  2.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,200% and greater FPL,0.9,"0.6,  1.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Private,0.7,"0.4,  1.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Medicaid or other public,0.8,"0.4,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Other coverage,0.6,"0.1,  2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Uninsured,10.5,"6.9, 15.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,With disability,2,"1.0,  3.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Without disability,1,"0.7,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Large MSA,1.3,"0.9,  1.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Small MSA,1,"0.6,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Not in MSA,1,"0.4,  2.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Northeast,0.5,"0.1,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Midwest,0.9,"0.5,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,South,1.5,"1.1,  2.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,West,1.1,"0.6,  1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Large central metro,1,"0.6,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Large fringe metro,1.6,"1.0,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Medium and small metro,1,"0.6,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Nonmetropolitan,1,"0.4,  2.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Little to no social vulnerability,1.2,"0.6,  2.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Low social vulnerability,1.3,"0.8,  2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,Medium social vulnerability,1.1,"0.6,  1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Delayed getting medical care due to cost,High social vulnerability,1,"0.6,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2022
Two or more hospital emergency department visits,Total,5.2,"4.5,  5.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2022
